Entity,Year,Annual CO2 emissions per capita£¨t£©,la defense population,acreage£¨©O£©,CO2 emissions per square meter of La Defense
France,2000,6.8779,17619,1600000,75.738575
France,2001,6.9132,17729,1600000,76.602577
France,2002,6.7891,17855,1600000,75.762113
France,2003,6.8371,17988,1600000,76.866097
France,2004,6.8066,18122,1600000,77.093253
France,2005,6.7984,18248,1600000,77.535752
France,2006,6.5968,18364,1600000,75.714772
France,2007,6.3913,18471,1600000,73.783564
France,2008,6.2369,18573,1600000,72.398715
France,2009,5.8941,18673,1600000,68.787831
France,2010,5.9888,18773,1600000,70.267339
France,2011,5.5951,18875,1600000,66.004695
France,2012,5.5996,18978,1600000,66.418256
France,2013,5.5958,19076,1600000,66.715926
France,2014,5.0766,19615,1600000,62.235943
France,2015,5.1186,19243,1600000,61.560762
France,2016,5.1584,19307,1600000,62.245768
France,2017,5.1971,19359,1600000,62.881662
France,2018,4.9603,19403,1600000,60.152938
France,2019,4.8508,19445,1600000,58.952379
France,2020,4.2381,19488,1600000,51.620058
