Column1,Column2
2.2540623,48.8900743
2.2537409,48.8869068
2.2535642,48.8893359
2.2534732,48.8924346
2.2534041,48.8921364
2.2533815,48.8923884
2.2533657,48.892122
2.2533605,48.8921823
2.253346,48.8924274
2.2533198,48.8925758
2.2532332,48.8893295
2.2532079,48.888851
2.2531472,48.888768
2.253143,48.8887623
2.253111,48.8881801
2.2530932,48.8918833
2.2530752,48.8890494
2.2530581,48.8940355
2.2529986,48.8881832
2.2529709,48.8881806
2.2529195,48.8904316
2.2529193,48.8938796
2.2529173,48.8875109
2.2528984,48.8906686
2.2528792,48.8939024
2.2528707,48.8906333
2.2528638,48.8877816
2.2528574,48.8906398
2.2528545,48.8877777
2.2528537,48.8876264
2.2528464,48.8907701
2.2528349,48.8907738
2.2528284,48.8901445
2.2528251,48.8906485
2.2528234,48.8907774
2.252821,48.8906054
2.2528172,48.8906559
2.252812,48.890781
2.2528115,48.8875809
2.2528033,48.8878318
2.2528033,48.8878013
2.2528027,48.890649
2.2528019,48.8886909
2.2528005,48.8907846
2.2528002,48.8901061
2.252799,48.8878261
2.2527972,48.8878237
2.2527964,48.8907943
2.2527914,48.8875598
2.2527706,48.887528
2.2527523,48.8904727
2.252733,48.8878671
2.2527265,48.890634
2.2527213,48.8902521
2.2527191,48.8908338
2.2527156,48.8876735
2.2527099,48.890498
2.2527062,48.8877935
2.2527049,48.8933618
2.2526926,48.8906213
2.2526869,48.8906326
2.2526772,48.8893027
2.2526741,48.887909
2.2526641,48.8934811
2.2526632,48.8944324
2.2526391,48.8901399
2.2526338,48.8919636
2.2526318,48.8877864
2.2526157,48.8906121
2.2526056,48.8878018
2.2525989,48.8878283
2.2525888,48.8898174
2.2525738,48.8886936
2.2525664,48.8869932
2.2525405,48.8900053
2.2525399,48.8906474
2.252523,48.8868187
2.252513,48.8947216
2.2525089,48.8900085
2.252507,48.8889971
2.2525056,48.8873193
2.2525034,48.8891347
2.2524954,48.8899904
2.2524876,48.8868827
2.2524799,48.8900416
2.252468,48.8899868
2.2524617,48.8933469
2.2524572,48.8887762
2.252447,48.8869996
2.2524395,48.8888923
2.252436,48.8896306
2.2524293,48.8872903
2.2524285,48.8935187
2.2524284,48.8933665
2.2524255,48.8875263
2.2524148,48.8893437
2.2524044,48.8873358
2.2523891,48.8934996
2.2523877,48.8873107
2.252386,48.8893042
2.252385,48.8925255
2.2523779,48.8896699
2.2523642,48.889006
2.2523621,48.8887205
2.2523603,48.8896758
2.2523568,48.8892644
2.2523555,48.8893625
2.252343,48.8870549
2.2523409,48.8886915
2.2523389,48.8870246
2.2523369,48.8904673
2.2523266,48.889323
2.2523227,48.8881576
2.2522975,48.8892832
2.2522951,48.8893816
2.2522932,48.8882046
2.2522681,48.8911217
2.2522666,48.889342
2.2522629,48.8900443
2.2522614,48.8933255
2.252251,48.889371
2.2522374,48.8893022
2.2522345,48.8894007
2.2522259,48.8909617
2.2522119,48.8909672
2.2522065,48.889361
2.2522063,48.8900882
2.2521993,48.8896946
2.2521947,48.8909303
2.2521859,48.8904635
2.2521849,48.8878411
2.2521839,48.8881074
2.2521801,48.8908931
2.2521791,48.8935493
2.2521778,48.8880783
2.2521773,48.8893212
2.2521741,48.8908847
2.2521738,48.8896613
2.2521737,48.88942
2.2521709,48.8873779
2.2521619,48.8908988
2.2521561,48.8908904
2.2521542,48.8908722
2.2521536,48.8908559
2.252149,48.8888314
2.252145,48.8900436
2.2521449,48.8893805
2.2521386,48.8867846
2.2521366,48.8908607
2.2521354,48.8884338
2.2521351,48.8959237
2.2521349,48.8889733
2.2521308,48.8965769
2.2521305,48.8885135
2.2521272,48.8904567
2.2521262,48.8881219
2.2521191,48.8904907
2.2521157,48.8893407
2.2521153,48.8894384
2.2521074,48.8881008
2.2520905,48.8928481
2.2520865,48.889399
2.2520853,48.8881352
2.2520784,48.889215
2.2520689,48.8867073
2.2520675,48.8935417
2.2520667,48.8892021
2.2520652,48.8957787
2.2520652,48.8897652
2.2520642,48.8934327
2.2520573,48.8893592
2.252054,48.8891841
2.2520521,48.8886054
2.2520496,48.8892075
2.252041,48.8891658
2.2520388,48.8933968
2.2520368,48.8891894
2.2520351,48.8891152
2.2520337,48.8881308
2.252033,48.888271
2.2520316,48.8882436
2.252028,48.8963265
2.252024,48.8891713
2.2520189,48.890539
2.2520116,48.8958245
2.252008,48.8885437
2.2520068,48.8881078
2.2520008,48.8881656
2.2519892,48.8963655
2.251988,48.8866563
2.2519816,48.8911495
2.251976,48.8882388
2.2519619,48.8879309
2.2519512,48.8881916
2.2519357,48.8879099
2.2519344,48.8869734
2.2519322,48.886978
2.2519315,48.890055
2.2519311,48.8881541
2.2519257,48.8869917
2.251915,48.8958245
2.2519135,48.8875937
2.2519098,48.8881711
2.2518994,48.8880042
2.2518955,48.8883869
2.2518895,48.8901042
2.2518794,48.8876916
2.2518761,48.8883543
2.2518646,48.8874011
2.251862,48.8897554
2.2518493,48.8879386
2.251827,48.8950474
2.2518117,48.8901186
2.2518077,48.8876885
2.2518037,48.8882524
2.2517948,48.891107
2.2517916,48.8876272
2.2517894,48.8908261
2.2517863,48.8901439
2.2517842,48.8875284
2.2517737,48.8876329
2.2517708,48.8914339
2.2517688,48.8874292
2.2517601,48.8901085
2.2517486,48.8881622
2.2517338,48.8902619
2.251729,48.8874142
2.2517192,48.886253
2.2517093,48.8903028
2.2516761,48.8953423
2.2516642,48.8878794
2.2516636,48.8903232
2.2516333,48.8917119
2.2516261,48.8915645
2.2516201,48.88784
2.2516135,48.8901946
2.2516099,48.8917373
2.2516073,48.8905829
2.2516048,48.8926695
2.2516034,48.8884664
2.2515943,48.888073
2.251589,48.8882015
2.2515843,48.8916713
2.251577,48.8884747
2.2515669,48.8915486
2.2515669,48.891501
2.2515548,48.8916359
2.2515489,48.8884836
2.2515331,48.8884848
2.2515294,48.8917443
2.2515225,48.8884919
2.2515153,48.8860695
2.2515026,48.8916879
2.2514958,48.8885003
2.2514918,48.8860448
2.2514759,48.8929902
2.2514748,48.8958994
2.2514664,48.8906664
2.2514462,48.8860073
2.2514452,48.8869417
2.2514405,48.8906782
2.2513926,48.8915874
2.2513795,48.8905766
2.2513779,48.8859927
2.2513555,48.8954617
2.2513433,48.8857147
2.2513266,48.8878475
2.2513021,48.8859187
2.2512879,48.8906993
2.251281,48.884496
2.2512731,48.8880168
2.2512639,48.8954692
2.2512637,48.8954149
2.2512497,48.8957973
2.2512029,48.8907255
2.2511831,48.8858942
2.2511482,48.8956859
2.2511404,48.8956757
2.2511197,48.8858788
2.2511069,48.8872745
2.251064,48.8872141
2.2510515,48.8875763
2.2510459,48.8872926
2.2510427,48.8874011
2.2510329,48.8880906
2.2510261,48.8905631
