labels,variable,value
1,SubmergedConsumption,8.333333333333334
1,SubmergedEnergy,79.33333333333333
1,SubmergedNum,308.6666666666667
1,SubmergedSprawl,39666.666666666664
1,aquaticConsumption,40.333333333333336
1,aquaticEnergy,608.0
1,aquaticNum,103.66666666666667
1,aquaticSprawl,121600.0
1,deadWorld,11.333333333333334
1,debrisNum,73.66666666666667
1,floatingConsumption,10.333333333333334
1,floatingEnergy,69.0
1,floatingNum,74.66666666666667
1,floatingSprawl,6900.0
1,herbConsumption,61.666666666666664
1,herbEnergy,1002.3333333333334
1,herbNum,8.0
1,herbSprawl,60140.0
1,waterNum,1082.3333333333333
1,woodyConsumption,79.0
1,woodyEnergy,1995.6666666666667
1,woodyNum,1.0
1,woodySprawl,1995666.6666666667
2,SubmergedConsumption,14.666666666666666
2,SubmergedEnergy,81.33333333333333
2,SubmergedNum,268.0
2,SubmergedSprawl,40666.666666666664
2,aquaticConsumption,33.666666666666664
2,aquaticEnergy,596.3333333333334
2,aquaticNum,44.0
2,aquaticSprawl,119266.66666666667
2,deadWorld,4.333333333333333
2,debrisNum,60.0
2,floatingConsumption,9.666666666666666
2,floatingEnergy,67.66666666666667
2,floatingNum,114.0
2,floatingSprawl,6766.666666666667
2,herbConsumption,60.333333333333336
2,herbEnergy,1001.3333333333334
2,herbNum,64.33333333333333
2,herbSprawl,60080.0
2,waterNum,998.3333333333334
2,woodyConsumption,81.66666666666667
2,woodyEnergy,2007.0
2,woodyNum,59.333333333333336
2,woodySprawl,2007000.0
3,SubmergedConsumption,12.666666666666666
3,SubmergedEnergy,67.66666666666667
3,SubmergedNum,146.66666666666666
3,SubmergedSprawl,33833.333333333336
3,aquaticConsumption,44.333333333333336
3,aquaticEnergy,599.0
3,aquaticNum,29.333333333333332
3,aquaticSprawl,119800.0
3,deadWorld,207.33333333333334
3,debrisNum,32.0
3,floatingConsumption,9.333333333333334
3,floatingEnergy,65.0
3,floatingNum,77.66666666666667
3,floatingSprawl,6500.0
3,herbConsumption,57.333333333333336
3,herbEnergy,994.3333333333334
3,herbNum,26.0
3,herbSprawl,59660.0
3,waterNum,1096.3333333333333
3,woodyConsumption,78.33333333333333
3,woodyEnergy,2000.0
3,woodyNum,82.0
3,woodySprawl,2000000.0
4,SubmergedConsumption,7.0
4,SubmergedEnergy,67.33333333333333
4,SubmergedNum,222.0
4,SubmergedSprawl,33666.666666666664
4,aquaticConsumption,37.333333333333336
4,aquaticEnergy,600.0
4,aquaticNum,48.666666666666664
4,aquaticSprawl,120000.0
4,deadWorld,203.66666666666666
4,debrisNum,1.0
4,floatingConsumption,8.333333333333334
4,floatingEnergy,63.666666666666664
4,floatingNum,62.333333333333336
4,floatingSprawl,6366.666666666667
4,herbConsumption,59.333333333333336
4,herbEnergy,1001.6666666666666
4,herbNum,53.0
4,herbSprawl,60100.0
4,waterNum,1064.0
4,woodyConsumption,82.66666666666667
4,woodyEnergy,1999.6666666666667
4,woodyNum,21.333333333333332
4,woodySprawl,1999666.6666666667
5,SubmergedConsumption,9.0
5,SubmergedEnergy,63.666666666666664
5,SubmergedNum,172.66666666666666
5,SubmergedSprawl,31833.333333333332
5,aquaticConsumption,43.0
5,aquaticEnergy,604.0
5,aquaticNum,27.666666666666668
5,aquaticSprawl,120800.0
5,deadWorld,196.66666666666666
5,debrisNum,1.0
5,floatingConsumption,6.666666666666667
5,floatingEnergy,72.0
5,floatingNum,1.0
5,floatingSprawl,7200.0
5,herbConsumption,58.666666666666664
5,herbEnergy,997.6666666666666
5,herbNum,17.666666666666668
5,herbSprawl,59860.0
5,waterNum,966.6666666666666
5,woodyConsumption,77.33333333333333
5,woodyEnergy,2002.3333333333333
5,woodyNum,7.0
5,woodySprawl,2002333.3333333333
6,SubmergedConsumption,14.0
6,SubmergedEnergy,68.33333333333333
6,SubmergedNum,291.3333333333333
6,SubmergedSprawl,34166.666666666664
6,aquaticConsumption,41.0
6,aquaticEnergy,599.0
6,aquaticNum,76.33333333333333
6,aquaticSprawl,119800.0
6,deadWorld,22.333333333333332
6,debrisNum,32.333333333333336
6,floatingConsumption,11.666666666666666
6,floatingEnergy,71.33333333333333
6,floatingNum,13.0
6,floatingSprawl,7133.333333333333
6,herbConsumption,57.666666666666664
6,herbEnergy,996.0
6,herbNum,1.0
6,herbSprawl,59760.0
6,waterNum,1035.3333333333333
6,woodyConsumption,84.33333333333333
6,woodyEnergy,2001.3333333333333
6,woodyNum,10.0
6,woodySprawl,2001333.3333333333
7,SubmergedConsumption,12.0
7,SubmergedEnergy,61.0
7,SubmergedNum,203.33333333333334
7,SubmergedSprawl,30500.0
