year,lat,long,name,energy
1,9,-1,floating,55.0
1,-9,-2,floating,32.0
1,-13,-3,floating,33.0
1,-3,-4,floating,65.0
1,-9,7,floating,31.0
1,-6,8,floating,316.0
1,0,-4,water,97.0
1,-1,3,water,86.0
1,-3,-11,water,95.0
1,-1,-2,water,90.0
1,1,5,water,97.0
1,0,-7,water,87.0
1,0,-2,water,73.0
1,-6,-1,water,55.0
1,-7,-3,water,83.0
1,-13,5,aquatic,678.0
1,-1,-7,water,82.0
1,3,5,woody,2107.0
1,5,-5,water,47.0
1,1,2,water,123.0
1,11,-5,water,105.0
1,1,-1,water,110.0
1,2,5,water,57.0
1,-7,1,water,68.0
1,4,-6,floating,2003.2
1,-4,1,water,89.0
1,3,-7,water,111.0
1,-4,7,water,120.0
1,-4,2,woody,2143.5
1,1,-4,water,76.0
1,3,2,water,55.0
1,-7,-6,water,75.0
1,-9,3,water,109.0
1,0,-8,water,108.0
1,3,1,water,69.0
1,0,-1,water,73.0
1,-3,6,water,77.0
1,-7,6,water,101.0
1,4,1,water,83.0
1,7,2,water,100.0
1,6,2,water,73.0
1,8,-1,water,89.0
1,3,-8,water,58.0
1,-4,-1,water,131.0
1,8,4,water,57.0
1,-10,0,aquatic,669.0
1,-3,-5,water,116.0
1,-3,-3,water,70.0
1,-2,-4,water,83.0
1,-1,1,water,80.0
1,1,-7,water,89.0
1,-7,-5,water,93.0
1,-4,-7,water,68.0
1,-5,-4,water,60.0
1,-12,-4,water,55.0
1,-10,2,water,111.0
1,-3,-1,water,104.0
1,14,8,water,109.0
1,-3,1,woody,2125.5
1,6,-5,water,65.0
1,-1,-8,water,42.0
1,1,-6,water,91.0
1,8,-5,water,98.0
1,2,-4,water,49.0
1,4,-5,water,84.0
1,0,-9,water,99.0
1,2,-2,water,86.0
1,-1,4,water,98.0
1,7,-3,water,122.0
1,0,9,aquatic,654.0
1,-2,-10,water,95.0
1,6,-1,water,81.0
1,2,10,water,97.0
1,10,10,water,107.0
1,-3,11,water,96.0
1,-9,-4,water,66.0
1,-3,-6,water,80.0
1,-1,2,water,94.0
1,-8,-1,water,124.0
1,2,11,water,75.0
1,6,-4,water,59.0
1,9,10,water,102.0
1,9,-8,water,70.0
1,8,-7,water,80.0
1,-2,-9,water,65.0
1,7,0,water,79.0
1,-8,1,water,90.0
1,7,-6,water,82.0
1,0,-13,water,60.0
1,-9,6,water,82.0
1,2,-1,water,117.0
1,10,-1,water,97.0
1,5,2,water,80.0
1,13,-3,water,99.0
1,4,3,water,102.0
1,5,1,water,72.0
1,4,-3,woody,2150.0
1,-1,-1,water,69.0
1,-6,-2,water,98.0
1,-13,0,water,108.0
1,-4,-6,water,107.0
1,4,-9,water,89.0
1,-1,-5,water,58.0
1,0,6,water,27.0
1,-2,-2,water,57.0
1,-2,6,water,81.0
1,-4,-4,water,90.0
1,3,-9,water,99.0
1,-13,4,water,147.0
1,-4,-10,water,101.0
1,20,11,water,87.0
1,-3,5,water,73.0
1,4,-8,water,16.0
1,11,3,water,93.0
1,6,-9,water,60.0
1,13,-9,water,60.0
1,-6,-6,water,75.0
1,6,5,aquatic,701.5
1,-5,-2,water,57.0
1,3,4,water,89.0
1,2,-5,water,98.0
1,1,-2,water,60.0
1,-4,-13,water,82.0
1,2,4,water,92.0
1,5,4,water,88.0
1,-2,-6,water,99.0
1,3,14,water,80.0
1,2,6,aquatic,683.5
1,-1,12,water,96.0
1,-2,4,water,82.0
1,-4,6,water,111.0
1,4,-2,water,73.0
1,-3,7,water,81.0
1,-10,3,water,83.0
1,-8,6,woody,2123.0
1,8,-8,water,86.0
1,3,8,water,106.0
1,5,8,water,80.0
1,-2,-8,water,89.0
1,-14,3,water,89.0
1,8,-6,water,113.0
1,8,-9,water,87.0
1,3,12,water,55.0
1,-9,-9,water,64.0
1,3,-10,water,74.0
1,4,6,water,48.0
1,8,2,water,59.0
1,10,0,aquatic,712.0
1,11,-4,water,89.0
1,9,-2,water,96.0
1,7,8,water,100.0
1,-5,7,water,66.0
1,-8,-4,water,102.0
1,1,-3,water,112.0
1,7,-8,water,100.0
1,2,15,water,81.0
1,-4,8,water,118.0
1,8,9,water,94.0
1,4,7,aquatic,670.0
1,-2,-3,water,80.0
1,11,-3,water,115.0
1,-2,12,water,90.0
1,-5,8,water,92.0
1,2,-7,water,71.0
1,1,10,aquatic,647.5
1,10,8,water,119.0
1,-5,6,water,113.0
1,0,-10,water,76.0
1,-7,-12,water,76.0
1,0,-22,water,73.0
1,8,3,aquatic,769.5
1,7,3,water,117.0
1,-1,6,water,107.0
1,-12,2,water,79.0
1,-13,3,water,51.0
1,11,0,water,118.0
1,-7,-2,water,81.0
1,-5,-10,water,77.0
1,2,-10,water,60.0
1,-4,9,water,90.0
1,-4,-18,water,63.0
1,-1,-6,water,84.0
1,-8,-10,water,108.0
1,-4,-8,water,116.0
1,-4,12,water,65.0
1,8,0,water,103.0
1,1,4,water,106.0
1,5,-8,water,100.0
1,4,2,water,58.5
1,-11,-5,water,85.0
1,-3,9,water,78.0
1,-5,-8,water,80.0
1,-5,-3,water,108.0
1,6,-7,water,100.0
1,-4,11,water,63.0
1,8,5,water,68.0
1,-5,-6,water,74.0
1,6,1,water,51.0
1,1,-8,water,84.0
1,-8,-3,water,58.0
1,-1,11,water,85.0
1,9,-3,water,104.0
1,13,2,water,121.0
1,7,1,water,47.0
1,-9,4,woody,2095.0
1,-5,5,aquatic,703.5
1,2,3,water,82.0
1,-7,8,water,77.0
1,-12,0,water,97.0
1,-4,10,water,103.0
1,5,10,water,96.0
1,-6,-7,water,81.0
1,2,-9,water,92.0
1,-8,-7,water,63.0
1,12,2,water,95.0
1,-2,-16,water,91.0
1,9,6,woody,2091.0
1,6,-6,water,117.0
1,1,11,water,68.0
1,13,1,water,99.0
1,8,-3,woody,2101.0
1,1,-9,water,82.0
1,-7,7,water,74.0
1,5,-9,water,111.0
1,6,13,water,87.0
1,1,12,water,105.0
1,-7,-4,water,98.0
1,-10,-5,woody,2139.0
1,5,7,woody,2085.5
1,-8,-8,woody,2114.5
1,5,11,water,101.0
1,0,10,aquatic,750.0
1,10,-3,water,66.0
1,-10,-9,water,109.0
1,-11,10,water,104.0
1,-11,-1,aquatic,710.5
1,12,7,water,94.0
1,-7,9,water,64.0
1,-3,-7,water,46.0
1,11,4,woody,2086.5
1,-9,2,water,78.0
1,13,10,water,68.0
1,9,0,water,96.0
1,-10,-6,water,93.0
1,3,6,water,66.0
1,5,13,water,115.0
1,7,-5,water,101.0
1,2,-8,water,109.0
1,-8,8,water,59.0
1,-6,14,water,69.0
1,-1,-11,water,86.0
1,6,0,water,103.0
1,-2,-7,water,57.0
1,-11,1,water,93.0
1,5,16,water,60.0
1,6,6,water,84.0
1,8,-2,water,62.0
1,-10,8,water,100.0
1,-5,9,water,55.0
1,-10,1,water,74.0
1,0,-6,water,99.0
1,13,6,water,102.0
1,-4,-5,water,91.0
1,-9,-5,water,105.0
1,5,-7,water,95.0
1,-11,-7,water,105.0
1,-9,8,water,90.0
1,-3,12,water,119.0
1,-2,-11,water,116.0
1,-8,7,water,63.0
1,1,6,water,35.0
1,-7,12,water,139.0
1,-1,9,aquatic,706.0
1,12,1,water,62.0
1,-5,-7,water,108.0
1,6,11,water,92.0
1,13,-1,water,104.0
1,6,10,water,119.0
1,-6,-8,water,84.0
1,6,-8,water,109.0
1,-11,6,water,109.0
1,6,-15,water,78.0
1,4,-14,water,89.0
1,5,9,water,102.0
1,2,7,water,60.0
1,0,-14,water,112.0
1,-3,14,water,71.0
1,7,-4,water,107.0
1,10,-5,water,110.0
