year,lat,long,name,energy
1,0,1,floating,70.0
1,2,-10,floating,77.0
1,-1,-1,floating,67.0
1,1,-1,floating,28.0
1,7,6,floating,62.0
1,11,-11,floating,95.0
1,-6,12,floating,27.0
1,0,0,floating,72.0
1,9,-4,floating,60.0
1,6,15,floating,94.0
1,8,-10,floating,75.0
1,6,4,floating,45.0
1,-1,0,floating,59.0
1,-9,7,floating,67.0
1,-12,2,floating,55.0
1,-2,0,floating,73.0
1,-13,-5,floating,88.0
1,-13,-4,floating,44.0
1,11,-9,floating,48.0
1,9,-11,floating,35.0
1,3,-12,floating,76.0
1,5,11,floating,54.0
1,-5,-6,water,75.0
1,1,9,water,70.0
1,4,-5,water,106.0
1,-2,13,water,91.0
1,-10,-3,water,123.0
1,6,-7,water,55.0
1,13,4,aquatic,784.0
1,-6,-3,water,104.0
1,-10,6,water,64.0
1,-1,-13,water,96.0
1,-5,8,water,109.0
1,-9,0,water,106.0
1,-14,7,water,71.0
1,9,-9,water,108.0
1,-3,5,water,97.0
1,-8,3,aquatic,643.0
1,-4,7,water,90.0
1,11,-15,water,92.0
1,9,-3,water,70.0
1,10,4,water,133.0
1,-1,-12,water,43.0
1,-7,-11,water,115.0
1,7,2,water,70.0
1,3,8,water,61.0
1,9,0,water,73.0
1,-12,-2,water,99.0
1,-8,6,water,74.0
1,-6,8,water,82.0
1,8,-4,water,77.0
1,8,5,water,105.0
1,-9,-6,water,76.0
1,4,7,water,113.0
1,-1,10,water,106.0
1,-5,7,water,83.0
1,7,4,water,128.0
1,6,6,water,52.0
1,-5,6,water,107.0
1,-2,-7,water,73.0
1,-1,-10,aquatic,676.5
1,4,8,water,71.0
1,-4,12,water,60.0
1,7,-3,water,85.0
1,8,-6,water,125.0
1,-4,-9,water,99.0
1,-6,10,water,95.0
1,-5,-9,aquatic,670.0
1,8,-5,water,62.0
1,1,-10,water,103.0
1,6,11,water,113.0
1,7,-11,water,72.0
1,8,8,water,130.0
1,5,-8,water,107.0
1,5,-2,water,92.0
1,-10,8,water,77.0
1,12,10,water,84.0
1,-11,-2,water,84.0
1,-9,1,water,97.0
1,4,-12,water,83.0
1,-9,3,water,67.0
1,3,-7,water,87.0
1,6,-9,water,107.0
1,-6,3,water,85.0
1,-3,-6,water,80.0
1,-5,-13,water,83.0
1,-8,9,water,78.0
1,-6,7,water,118.0
1,-9,-3,water,81.0
1,12,-5,water,87.0
1,-5,-12,aquatic,702.5
1,3,-10,water,76.0
1,-3,12,water,94.0
1,7,5,water,95.0
1,6,5,water,129.0
1,-9,8,water,89.0
1,-3,-12,water,79.0
1,2,12,water,99.0
1,-3,-8,water,74.0
1,5,-7,water,81.0
1,2,-12,water,115.0
1,-11,-5,water,56.0
1,-14,0,water,100.0
1,5,9,water,70.0
1,-4,8,water,84.0
1,8,-9,water,76.0
1,0,13,aquatic,693.0
1,-11,-4,water,82.0
1,-8,-9,water,92.0
1,-2,-13,water,84.0
1,6,-2,water,82.0
1,8,13,water,91.0
1,1,15,water,59.0
1,18,6,water,110.0
1,10,-4,water,98.0
1,12,0,water,98.0
1,-8,12,water,120.0
1,-10,-9,water,104.0
1,10,-7,water,66.0
1,11,-6,water,87.0
1,6,9,water,95.0
1,-11,1,water,65.0
1,-8,-1,water,74.0
1,9,-2,water,46.0
1,2,-9,water,67.0
1,9,-10,water,97.0
1,-10,4,water,100.0
1,4,10,water,75.0
1,2,-11,water,95.0
1,-7,8,water,50.0
1,-3,6,water,86.0
1,-9,-8,water,81.0
1,5,6,water,99.0
1,-10,-2,water,78.0
1,11,-1,water,99.0
1,11,12,water,100.0
1,2,-13,water,89.0
1,9,-13,water,92.0
1,3,-9,water,111.0
1,-6,-7,water,123.0
1,7,-10,water,79.0
1,12,-1,water,71.0
1,-5,9,water,64.0
1,0,15,water,74.0
1,15,2,water,80.0
1,0,11,water,103.0
1,-12,3,aquatic,756.5
1,-9,-4,water,84.0
1,-2,9,water,100.0
1,-12,6,water,46.0
1,9,-8,water,87.0
1,-12,4,water,119.0
1,-1,9,water,93.0
1,11,2,water,120.0
1,-4,-16,water,91.0
1,-7,9,water,100.0
1,-11,-1,water,105.0
1,-10,-6,water,97.0
1,1,-11,water,87.0
1,-10,-5,water,70.0
1,-2,12,water,130.0
1,-11,-3,water,63.0
1,5,10,water,132.0
1,6,-10,water,68.0
1,8,-3,water,82.0
1,2,6,water,132.0
1,-12,-5,water,86.0
1,-4,-11,water,84.0
1,-8,8,water,88.0
1,8,15,water,75.0
1,10,-3,water,70.0
1,-5,12,water,90.0
1,-5,-7,water,95.0
1,-9,-9,water,100.0
1,9,5,floating,985.8
1,4,-8,water,78.0
1,-9,9,water,63.0
1,-15,-1,water,93.0
1,-3,-11,water,114.0
1,0,-13,water,84.0
1,-1,11,water,88.0
1,-5,-8,aquatic,683.0
1,-10,-8,water,114.0
1,-6,9,water,85.0
1,-10,7,water,92.0
1,-12,0,water,101.0
