,name,year,brand,fullmodelname,modelname,price,distance_travelled(kms),fuel_type,city,brandrank,carAge,distance below 30k km,new and less used,inv_car_price,inv_car_dist,inv_car_age,inv_brand,std_invprice,std_invdistance_travelled,std_invrank,best_buy1,best_buy2
0,0,2016,Honda,Honda Brio S MT,Brio,425000,9680,Petrol,Mumbai,7,5,1,0,2.35E-06,0.000103306,0.2,0.142857143,0.143416889,0.035729816,0.132142857,677.1342393,0
1,1,2012,Nissan,Nissan Sunny XV Diesel,Sunny,325000,119120,Diesel,Mumbai,11,9,0,0,3.08E-06,8.39E-06,0.111111111,0.090909091,0.188858963,0.002496282,0.079545455,37.50131826,0
2,2,2017,Toyota,Toyota Fortuner 2.8 4x2 MT [2016-2020],Fortuner,2650000,64593,Diesel,Thane,1,4,0,0,3.77E-07,1.55E-05,0.25,1,0.019415755,0.004977711,1,96.64601985,0
3,3,2017,Mercedes-Benz,Mercedes-Benz E-Class E 220d Expression [2019-2019],E-Class,4195000,25000,Diesel,Mumbai,2,4,1,1,2.38E-07,4.00E-05,0.25,0.5,0.010692449,0.013562971,0.49375,71.60430612,71.60430612
4,4,2012,Hyundai,Hyundai Verna Fluidic 1.6 CRDi SX,Verna,475000,23800,Diesel,Mumbai,14,9,1,0,2.11E-06,4.20E-05,0.111111111,0.071428571,0.127870916,0.014269166,0.059821429,109.150857,0
5,5,2012,Hyundai,Hyundai i20 Sportz 1.2 BS-IV,i20,335000,45000,Petrol,Mumbai,14,9,0,0,2.99E-06,2.22E-05,0.111111111,0.071428571,0.183093924,0.007337991,0.059821429,80.37257381,0
6,6,2019,Toyota,Toyota Glanza V,Glanza,750000,19500,Petrol,Mumbai,1,2,1,1,1.33E-06,5.13E-05,0.5,1,0.0794193,0.017513439,1,1390.905069,1390.905069
7,7,2018,Mercedes-Benz,Mercedes-Benz GLE 250 d,GLE,5500000,32000,Diesel,Mumbai,2,3,0,0,1.82E-07,3.13E-05,0.333333333,0.5,0.007142303,0.010499114,0.49375,37.02524898,0
8,8,2017,Hyundai,Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT [2017-2018],Grand,565000,44329,Petrol,Mumbai,14,4,0,0,1.77E-06,2.26E-05,0.25,0.071428571,0.106821943,0.007455774,0.059821429,47.64419328,0
9,9,2015,Maruti Suzuki,Maruti Suzuki Swift Dzire ZXI,Swift,510000,48286,Petrol,Mumbai,32,6,0,0,1.96E-06,2.07E-05,0.166666667,0.03125,0.118802431,0.006808456,0.019140625,15.48210806,0
10,10,2015,Hyundai,Hyundai Xcent SX 1.2 (O),Xcent,465000,24935,Petrol,Mumbai,14,6,1,0,2.15E-06,4.01E-05,0.166666667,0.071428571,0.130712653,0.013599482,0.059821429,106.340029,0
11,11,2016,Toyota,Toyota Innova Crysta 2.4 G 7 STR [2016-2017],Innova,1485000,59758,Diesel,Mumbai,1,5,0,0,6.73E-07,1.67E-05,0.2,1,0.037997395,0.005416318,1,205.8059762,0
